type,title,reference,status,description,date_lodged,date_signed,eiar,nis,parties,Latitude,Longitude
Planning Appeal,"Cinnamon Restaurant, 23 Monkstown Crescent, Monkstown, Co. Dublin",316155,Grant permission with revised conditions,Retention of existing extraction mechanisms and replacement of extraction fan with new system.,29/03/2023,16/07/2024,No,No,"Terry Doyle
								(Applicant); Longford Terrace Residents Association
								(3rd Party Appellant)
															(Active); Councillor Dave Quinn
								(3rd Party Appellant)
															(Active)",53.323965799999996,-6.252226809520097
Planning Appeal,"Site at New Street, off New Street South, Dublin 8",316189,Grant permission with revised conditions,"Amendments to 3752/19 and ABP-307062-20, consisting of increase of total floor area and height of plant screen at r...",03/04/2023,25/09/2024,No,No,"BCP Fund Management DAC
								(Applicant); Fergal and Jai Bonner
								(3rd Party Appellant)
															(Active)",,
Referral - Points of Detail in dispute,"Clonross, Navan Road, Blanchardstown, Dublin 15",316217,Board Decision- see Board Order,Construction of 29 no. dwelling units,06/04/2023,09/07/2024,No,No,"Bartra Property (Clonross) Ltd
								(1st party Referrer); Bartra Property (Clonross) Ltd
								(1st party Referrer)
															(Active)",53.38500765,-6.370899739652612
Planning Appeal,"3 Kilbogget Villas, Old Bray Road, Cabinteely, Dublin 18",316246,Grant Permissions with Conditions,The change of use of the retail ground floor and part basement element of the approved development (planning refere...,11/04/2023,15/07/2024,No,No,"West Group Investments Limited
								(Applicant); West Group Investments Limited
								(1st Party Appellant)
															(Active)",53.2600761787448,-6.1493522385181825
Planning Appeal,"60 Main Street, Howth, Co. Dublin, D13 N8K3.",316294,Grant permission with revised conditions,The development will consist of: (i) demolition of the single storey function room to the rear of the site; (ii) de...,18/04/2023,09/08/2024,No,No,"JM Dunluce Ltd.
								(Applicant); Howth Sutton Community Council
								(3rd Party Appellant)
															(Invalid); Howth Sutton Community Council
								(3rd Party Appellant)
															(Active)",53.38612685,-6.0654155
Planning Appeal,"Belcamp Hall (protected structure), Malahide Road, Belcamp, Dublin 17",316297,Grant permission with revised conditions,"Construction of 32 no. residential units (11 no. 1 bed units, 19 no. 2 bed units and 2 no. 2 bed live/work units) a...",18/04/2023,25/07/2024,No,No,"Gerard Gannon Properties
								(Applicant); Brenda Doyle
								(3rd Party Appellant)
															(Active)",53.3866605,-6.2010625
Planning Appeal,"92-93, Francis Street and 1-3 Mark's Alley West, Dublin 8",316306,Refuse Permission,"Demolition of structures, construction of aparthotel with all associated site works",18/04/2023,24/06/2024,No,No,"Peninsula Suite Property Holdings Limited
								(Applicant); Peninsula Suite Property Holdings Limited
								(1st Party Appellant)
															(Active)",53.342470727622675,-6.275629914352338
Planning Appeal,Milium Ventures Ltd. on a 0.7918 hectare site located to the north of Whitestown Road and to th...,316316,Refuse Permission,Construction of a residential development consisting of 37 residential units and all associated ancillary works.,17/04/2023,11/07/2024,No,No,"Milium Ventures Ltd.
								(Applicant); Milium Ventures Ltd.
								(1st Party Appellant)
															(Active)",,
Referral - Points of Detail in dispute,"Glenmalure, Castleknock Road, Castleknock, Dublin 15",316419,Board Decision- see Board Order,Demolition of an existing residential unit and associated structures and the development of a residential developme...,24/04/2023,01/07/2024,No,No,"Castleshore Investments Ltd.
								(1st party Referrer); Castleshore Investments Ltd
								(1st party Referrer)
															(Active); Castleshore Investments Ltd.
								(1st party Referrer)
															(Active)",53.368774450000004,-6.396557893334801
Planning Appeal,"Rose Cottage, 26 Cherrywood Road, Shankill, Dublin 18, D18 P4A7",316429,Refuse Permission,The construction of a 120 no. bed nursing home facility (4 and 5 storeys in height) and all associated site clearan...,24/04/2023,07/06/2024,No,Yes,"Galadar Properties Limited
								(Applicant); Galadar Properties Limited
								(1st Party Appellant)
															(Active)",53.2686566,-6.2199820399752825
Planning Appeal,"Unit 8A, Rosemount Business Park, Ballycoolin Road, Dublin 11, D11 W024",316916,Refuse Permission,RETENTION: Waste plastics recycling facility for product and materials storage and pre-processing activity and all ...,02/05/2023,14/06/2024,No,No,"Cloughwater Plastics (Ireland) Limited
								(Applicant); Cloughwater Plastics (Ireland) Limited
								(1st Party Appellant)
															(Active)",53.57129529820325,-6.1160734073983685
Planning Appeal,"5, 6 & 7 Halston Street, Dublin 7, D07 NX32",316948,Grant permission with revised conditions,"Demolition of a derelict shed, front boundary wall & metal gates. Construction of a 4-storey apartment development ...",03/05/2023,12/06/2024,No,No,"Peter McVerry Trust
								(Applicant); Marion White and The People of North King Street
								(3rd Party Appellant)
															(Active)",53.3524335,-6.2793821
Planning Appeal,"Ballinteer Lodge, Ballinteer Road, Dundrum, Dublin 14",316955,Grant permission with revised conditions,"31 residential units and all associated site development works, landscaping, boundary treatments and other servicin...",03/05/2023,26/08/2024,No,No,"James Monaghan
								(Applicant); Martin and Margaret Lynch
								(3rd Party Appellant)
															(Active); Ashlawn Residents Association
								(3rd Party Appellant)
															(Active)",53.2888942,-6.24523105
LA Road Dev - Application,Swords to Dublin City Centre,317121,Approve with Conditions,BusConnects Swords to City Centre Bus Corridor Scheme,12/05/2023,19/06/2024,Yes,Yes,"National Transport Authority
								(Applicant); National Transport Authority
															(Invalid); National Transport Authority
															(Active)",,
Planning Appeal,"23/24, Rutland Place North, Dublin 1",317146,Grant permission with revised conditions,Demolition of a single storey flat roofed storage building and the construction of 5  one bedroom apartments,18/05/2023,02/08/2024,No,No,"Cuisle Properties Ltd
								(Applicant); R.M. O'Hanrahan Architecture
								(3rd Party Appellant)
															(Active)",53.357340207453674,-6.250951976133095
Local Authority Road CPO - Application,Swords to Dublin City Centre,317164,Confirm CPO without modifications,"Swords to City Centre Core Bus Corridor Scheme, Compulsory Purchase Order 2023",19/05/2023,19/06/2024,No,No,"National Transport Authority
								(Applicant); National Transport Authority
															(Active); Menapia Car Hire Unlimited Company; Advanced Roofing and Cladding Limited; Sean Smith",,
Referral,"Boland's Motor Salvage, Nevinstown, Cloghran, Swords, Co. Dublin",317171,Is development and is not exempted development,Whether the use of the land as a motor parts and sales area is or is not development or is or is not exempted devel...,23/05/2023,11/07/2024,No,No,"Joseph Boland
								(1st party Referrer); Joseph Boland
								(1st party Referrer)
															(Active)",,
Planning Appeal,"Wycliffe, Millview Road, Malahide, Co. Dublin, K36 R966",317192,Grant permission with revised conditions,Demolition of bungalow and outbuilding on site and construction of a 3 storey apartment building comprising 14 resi...,24/05/2023,15/08/2024,No,No,"Garvagh Homes Ltd.
								(Applicant); Talbot Court Management DAC
								(3rd Party Appellant)
															(Active)",53.44992591844152,-6.175068948718952
Planning Appeal,"Rear of 67, Merrion Road, (D04 RD40) and to the rear of the adjoining No. 69 Merrion Road, Dubl...",317234,Refuse Permission,Construction of 6 houses and all associated site works. NIS was included with the Planning Application,31/05/2023,04/06/2024,No,Yes,"James, Andrew, Harry and St. John Simpson
								(Applicant); James, Andrew, Harry and St. John Simpson
								(1st Party Appellant)
															(Active)",53.3137388,-6.2030043
Planning Appeal,"Lands north of The Bridge, Enniskerry Road, Kilternan, Dublin 18",317250,Refuse Permission,Construction of 30 no. residential units comprising and all associated works necessary to facilitate the developmen...,31/05/2023,18/06/2024,No,No,"Waterloo Homes Ltd
								(Applicant); Waterloo Homes Ltd
								(1st Party Appellant)
															(Active)",53.36349399354603,-6.271438582678996
Planning Appeal,"Site to the south of Dundrum Office Park, Dundrum and to the rear of 7, 8 and 9 Main Street, Du...",317253,Grant permission with revised conditions,Construction 21 no. apartments and all associated site works.,01/06/2023,18/06/2024,No,No,"Eoin Sheehan
								(Applicant); Dundrum Office Park Management Company CLG
								(3rd Party Appellant)
															(Active); Patrick and Suzanne Quinn
								(3rd Party Appellant)
															(Active); Patrick and Suzanne Quinn
								(3rd Party Appellant); Imagine Dundrum Community Placemakers CLG
								(3rd Party Appellant)
															(Active); Breffni McGrane
								(3rd Party Appellant)
															(Active); Desmond McGrane
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"162-164A Capel Street and 33-36 Strand Street Little, Dublin 7",317264,Grant Permissions with Conditions,Modifications to planning permission granted for a hotel comprising 142 bedrooms under reg. ref. 3609/22 (ABP-30921...,02/06/2023,16/07/2024,No,No,"City ID Dublin Capel Limited
								(Applicant); City ID Dublin Capel Limited
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"12  Brennanstown Vale, Dublin 18, D18W6E5",317315,Grant permission with revised conditions,"Demolition of existing garage and garden shed, construction of 2 houses",12/06/2023,05/09/2024,No,No,"Balquis Fatima Bari
								(Applicant); Alan and Hilary Nash
								(3rd Party Appellant)
															(Active)",53.253883849999994,-6.16827627644372
Planning Appeal,"Stoneview, The Green, Quickpenny Road, Lusk, County Dublin, K45 DW32",317316,Grant Permissions with Conditions,Construction of 6 dwellings,12/06/2023,10/07/2024,No,No,"Anne Hennessy
								(Applicant); Anne Hennessy
								(1st Party Appellant)
															(Active)",53.53095415,-6.1732663608370615
Referral,"Lennox Street Grocer, 38, Lennox Street, Portobello, Dublin 8",317344,Is development and is not exempted development,Whether the holding of occasional wine tasting  with finger food as an ancillary event at a retail store on a once-...,14/06/2023,01/08/2024,No,No,"La Gourmande Limited
								(1st party Referrer); La Gourmande Limited
								(1st party Referrer)
															(Active)",53.331202499424954,-6.268535041761897
Building Control - Fire Safety Certificate,"Northwood Avenue, Dublin 9",317349,Allow appeal delete conditions,Fire Safety Certificate for 99 apartments,15/06/2023,24/07/2024,No,No,"M.B. McNamara Construction
								(Applicant); M. B. McNamara Construction Limited
															(Active)",53.40399551626269,-6.244907657853491
Building Control - Fire Safety Certificate,"Northwood Avenue, Dublin 9",317351,Allow appeal delete conditions,"Fire Safety Certificate for residential development ranging from 2-6 storeys to include 99 apartments, 2 no. commun...",15/06/2023,24/07/2024,No,No,"M.B. McNamara Construction
								(Applicant); M. B. McNamara Construction Limited
															(Active)",53.40399551626269,-6.244907657853491
Referral,"Lennox Street Grocer, 38 Lennox Street, Portobello, Dublin 8",317404,Is development and is not exempted development,Whether the hosting of events or promotions whereby food and alcoholic beverages are consumed for a fee is or is no...,21/06/2023,01/08/2024,No,No,"La Gourmande Limited
								(1st party Referrer); La Gourmande Limited
								(1st party Referrer)
															(Active)",53.331202499424954,-6.268535041761897
